"Author","Title","Year","Publication","DOI"
"K. Narayanasamy; I. Venkatachalam","A Detailed Review for Predicting the Quantity of Sugar From Sugarcane Using Various Models","2025","IEEE Access","https://doi.org/10.1109/ACCESS.2024.3522495"
"N. Sowmya; V. Ponnusamy","Development of Spectroscopic Sensor System for an IoT Application of Adulteration Identification on Milk Using Machine Learning","2021","IEEE Access","https://doi.org/10.1109/ACCESS.2021.3070558"
"F. Zennifa; K. Iramina","Quantitative Formula of Blink Rates-Pupillometry for Attention Level Detection in Supervised Machine Learning","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2929596"
"M. A. Tanveer; M. J. Khan; M. J. Qureshi; N. Naseer; K. -S. Hong","Enhanced Drowsiness Detection Using Deep Learning: An fNIRS Study","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2942838"
"Y. Li; Q. Yu; M. Xie; Z. Zhang; Z. Ma; K. Cao","Identifying Oil Spill Types Based on Remotely Sensed Reflectance Spectra and Multiple Machine Learning Algorithms","2021","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2021.3109951"
"C. Cooney; R. Folli; D. Coyle","A Bimodal Deep Learning Architecture for EEG-fNIRS Decoding of Overt and Imagined Speech","2022","IEEE Transactions on Biomedical Engineering","https://doi.org/10.1109/TBME.2021.3132861"
"F. Dapsance; J. Hou; D. Dufour; C. Boccara; N. Briand; Ø. G. Martinsen","Adipose Tissue Characterization With Electrical Impedance Spectroscopy and Machine Learning","2023","IEEE Sensors Letters","https://doi.org/10.1109/LSENS.2023.3317921"
"Z. M. Choffin; L. Kong; Y. Gan; N. Jeong","A CNN-Based Microwave Imaging System for Detecting Watermelon Ripeness","2025","IEEE Access","https://doi.org/10.1109/ACCESS.2025.3535804"
"M. Morata; B. Siegmann; A. Pérez-Suay; J. L. García-Soria; J. P. Rivera-Caicedo; J. Verrelst","Neural Network Emulation of Synthetic Hyperspectral Sentinel-2-Like Imagery With Uncertainty","2023","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2022.3231380"
"L. -C. Fengou; I. Mporas; E. Spyrelli; A. Lianou; G. -J. Nychas","Estimation of the Microbiological Quality of Meat Using Rapid and Non-Invasive Spectroscopic Sensors","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.3000690"
"T. Wu; L. Leng; M. K. Khan; F. A. Khan","Palmprint-Palmvein Fusion Recognition Based on Deep Hashing Network","2021","IEEE Access","https://doi.org/10.1109/ACCESS.2021.3112513"
"M. Simon; S. Rikka; S. Nõmm; V. Alari","Application of the LSTM Models for Baltic Sea Wave Spectra Estimation","2023","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","https://doi.org/10.1109/JSTARS.2022.3220882"
